TIME,HOME TEAM,AWAY TEAM,HOME ODD,DRAW ODD,AWAY ODD,BOOKMAKER
18:00,Bursaspor,Golcukspor,1.53,4.1,4.8,BETPAWA
18:00,SV Heimstetten,TSV Dachau,1.87,3.75,3.3,BETPAWA
18:00,Eintracht Frankfurt,Sparta Prague,1.15,6.75,12.0,BETPAWA
18:00,Paris FC,VfL Wolfsburg,3.8,4.1,1.69,BETPAWA
18:30,CD Alba Fundacion,Rayo Vallecano,1.29,4.7,8.5,BETPAWA
19:00,Blackpool,Liverpool FC U21,1.17,6.5,10.0,BETPAWA
19:00,Morecambe FC,Barrow AFC,2.6,3.2,2.5,BETPAWA
19:00,Carlisle United,Nottingham Forest FC U21,1.46,4.35,5.25,BETPAWA
19:00,Tranmere Rovers FC,Leicester City U21,1.5,4.45,4.7,BETPAWA
19:00,Wigan Athletic,Fleetwood Town,2.11,3.5,2.95,BETPAWA
19:00,Lincoln City,Wolverhampton Wanderers FC U21,1.51,4.2,4.9,BETPAWA
19:00,Notts County,Derby County,3.1,3.55,2.02,BETPAWA
19:00,Walsall FC,Forest Green Rovers,2.07,3.4,3.1,BETPAWA
19:00,Charlton Athletic,Aston Villa FC U21,1.24,5.75,7.5,BETPAWA
19:00,Stevenage FC,Wycombe Wanderers,1.92,3.4,3.5,BETPAWA
19:00,Reading FC,Swindon Town,1.52,4.2,4.8,BETPAWA
19:00,Mansfield Town,Doncaster Rovers,1.4,4.35,6.25,BETPAWA
19:00,CS Italiano,Yupanqui,1.57,3.8,4.9,BETPAWA
19:00,Berazategui,CA Atlas,2.04,3.2,3.35,BETPAWA
19:00,CA Claypole,Ferrocarril Midland,2.03,3.05,3.55,BETPAWA
19:00,Justo Jose de Urquiza,CSD San Martin,2.05,3.4,3.15,BETPAWA
19:00,CSD Liniers,CSCD Laferrere,2.8,2.95,2.45,BETPAWA
19:00,Real Pilar FC,CA Victoriano Arenas,1.35,4.2,7.75,BETPAWA
19:00,Club Lujan,CDM Leandro N. Alem,1.69,3.2,5.0,BETPAWA
19:00,CA Central Cordoba Rosario,Excursionistas,3.4,2.95,2.15,BETPAWA
19:00,Deportivo Espanol,CA Puerto Nuevo,2.7,3.15,2.45,BETPAWA
19:00,Valur Reykjavik,SKN St. Polten,3.1,3.45,2.05,BETPAWA
19:15,Exeter City,Arsenal FC U21,4.5,4.25,1.55,BETPAWA
19:30,Grimsby Town,Bradford City,3.05,3.2,2.18,BETPAWA
