TIME,HOME TEAM,AWAY TEAM,HOME ODD,DRAW ODD,AWAY ODD,BOOKMAKER
18:00,Eintracht Frankfurt,Sparta Prague,1.15,6.77,12.46,EASYWIN
18:00,SC Eltersdorf,ASV Neumarkt,1.44,4.16,4.85,EASYWIN
18:00,SV Donaustauf,DJK Ammerthal,2.7,3.49,2.07,EASYWIN
18:00,SV Heimstetten,TSV Dachau,1.84,3.59,3.15,EASYWIN
18:00,Bursaspor,Golcukspor,1.58,4.22,4.98,EASYWIN
18:00,CD Alba Fundacion,Rayo Vallecano,1.28,4.31,7.88,EASYWIN
18:30,Valur Reykjavik,SKN St. Polten,3.08,3.47,2.05,EASYWIN
19:00,Morecambe FC,Barrow AFC,2.57,3.2,2.5,EASYWIN
19:00,Wigan Athletic,Fleetwood Town,2.13,3.46,2.92,EASYWIN
19:00,Stevenage FC,Wycombe Wanderers,1.95,3.35,3.47,EASYWIN
19:00,Mansfield Town,Doncaster Rovers,1.42,4.4,6.02,EASYWIN
19:00,Carlisle United,Nottingham Forest FC,1.49,4.33,5.08,EASYWIN
19:00,Charlton Athletic,Aston Villa FC,1.27,5.71,7.37,EASYWIN
19:00,Reading FC,Swindon Town,1.54,4.18,4.76,EASYWIN
19:00,Blackpool,Liverpool FC,1.19,6.48,9.79,EASYWIN
19:00,Lincoln City,Wolverhampton Wanderers FC,1.53,4.17,4.8,EASYWIN
19:00,Walsall FC,Forest Green Rovers,2.09,3.38,3.07,EASYWIN
19:00,Notts County,Derby County,3.06,3.51,2.05,EASYWIN
19:00,Tranmere Rovers FC,Leicester City,1.52,4.44,4.65,EASYWIN
19:00,Exeter City,Arsenal FC,4.41,4.2,1.57,EASYWIN
19:15,Crewe Alexandra,Wrexham AFC,2.99,3.56,2.06,EASYWIN
19:30,Salford City,Stockport County FC,3.57,3.57,1.85,EASYWIN
19:30,Cheltenham Town,Newport County,2.43,3.36,2.56,EASYWIN
19:30,Grimsby Town,Bradford City,3.02,3.15,2.22,EASYWIN
19:30,Argentino de Rosario,Deportivo Muniz,1.46,3.72,6.85,EASYWIN
19:30,Port Vale,Newcastle United FC,1.23,5.69,8.92,EASYWIN
19:45,Harrogate Town,Accrington Stanley,2.39,3.3,2.65,EASYWIN
19:45,Sutton United,Crawley Town,2.18,3.45,2.85,EASYWIN
19:45,Portsmouth FC,Gillingham FC,1.33,4.85,6.93,EASYWIN
19:45,Galway United FC,Waterford FC,1.58,3.92,3.95,EASYWIN
