TIME,HOME TEAM,AWAY TEAM,HOME ODD,DRAW ODD,AWAY ODD,BOOKMAKER
18:00,SC Eltersdorf,ASV Neumarkt,1.5,4.6,5.4,MSPORT
18:00,Eintracht Frankfurt,Sparta Prague,1.17,7.2,13.0,MSPORT
18:00,Paris FC,VfL Wolfsburg,3.95,4.2,1.73,MSPORT
18:00,SV Heimstetten,TSV Dachau,1.93,3.9,3.4,MSPORT
18:00,Bursaspor,Golcukspor,1.56,4.1,4.8,MSPORT
18:00,SV Donaustauf,DJK Ammerthal,2.9,3.75,2.18,MSPORT
18:30,CD Alba Fundacion,Rayo Vallecano,1.33,4.9,9.0,MSPORT
19:00,Justo Jose de Urquiza,CSD San Martin,2.13,3.45,3.25,MSPORT
19:00,CA Central Cordoba Rosario,Excursionistas,3.45,3.0,2.23,MSPORT
19:00,CSD Liniers,CSCD Laferrere,2.85,3.0,2.55,MSPORT
19:00,Real Pilar FC,CA Victoriano Arenas,1.4,4.3,8.2,MSPORT
19:00,Club Lujan,CDM Leandro N. Alem,1.75,3.3,5.2,MSPORT
19:00,Berazategui,CA Atlas,2.11,3.3,3.45,MSPORT
19:00,CS Italiano,Yupanqui,1.63,3.9,5.0,MSPORT
19:00,Deportivo Espanol,CA Puerto Nuevo,2.75,3.25,2.5,MSPORT
19:00,CA Claypole,Ferrocarril Midland,2.1,3.15,3.65,MSPORT
19:00,Blackpool,Liverpool FC,1.2,7.0,11.0,MSPORT
19:00,Morecambe,Barrow AFC,2.65,3.3,2.55,MSPORT
19:00,Carlisle,Nottingham Forest FC,1.51,4.5,5.4,MSPORT
19:00,Tranmere,Leicester City,1.54,4.6,4.8,MSPORT
19:00,Wigan,Fleetwood,2.19,3.55,3.0,MSPORT
19:00,Lincoln City,Wolverhampton Wanderers FC,1.56,4.3,5.0,MSPORT
19:00,Notts County,Derby,3.15,3.6,2.1,MSPORT
19:00,Walsall,Forest Green,2.14,3.5,3.15,MSPORT
19:00,Charlton,Aston Villa FC,1.29,6.0,7.8,MSPORT
19:00,Stevenage,Wycombe,1.99,3.45,3.6,MSPORT
19:00,Reading,Swindon,1.55,4.4,5.0,MSPORT
19:00,Mansfield,Doncaster,1.44,4.6,6.4,MSPORT
19:00,Valur Reykjavik,SKN St. Polten,3.15,3.6,2.1,MSPORT
19:00,Social Atletico Television,CA River Plate (Arg),7.2,4.5,1.41,MSPORT
19:00,San Martin,Alianza Universidad de Huanuco,3.25,2.75,2.5,MSPORT
19:15,Exeter,Arsenal FC,4.6,4.4,1.6,MSPORT
19:30,Argentino de Rosario,Deportivo Muniz,1.49,3.9,7.2,MSPORT
19:30,Grimsby,Bradford,3.1,3.25,2.27,MSPORT
19:30,Crewe,Wrexham,3.1,3.7,2.11,MSPORT
19:30,Salford,Stockport,3.7,3.7,1.89,MSPORT
19:30,Cheltenham,Newport County,2.49,3.45,2.65,MSPORT
19:45,Port Vale,Newcastle United FC,1.25,6.0,9.6,MSPORT
